,Property_details,Area,Price,Area Type,Number of Sq ft
128,"3 BHK Independent House for Sale in Pappampatti, Coimbatore",1500 sqft,₹68 Lac ,Carpet Area,1500 sqft
129,"3 BHK Independent House for Sale in Neelambur, Coimbatore",1200 sqft,₹70 Lac ,Carpet Area,1200 sqft
130,3 BHK Independent House for Sale in Coimbatore,2100 sqft,₹70 Lac ,Super Area,2100 sqft
131,3 BHK Independent House for Sale in Coimbatore,1800 sqft,₹85 Lac ,Carpet Area,1800 sqft
132,"2 BHK Independent House for Sale in pollachi, Coimbatore",1350 sqft,₹65 Lac ,Carpet Area,1350 sqft
133,4 BHK Independent House for Sale in Coimbatore,2300 sqft,₹60 Lac ,Super Area,2300 sqft
134,"7 BHK Independent House for Sale in BK Pudur, Coimbatore",4655 sqft,₹1.85 Cr ,Carpet Area,4655 sqft
135,"4 BHK Independent House for Sale in Kannampalayam, Coimbatore",2400 sqft,₹75 Lac ,Carpet Area,2400 sqft
136,3 BHK Independent House for Sale in Coimbatore,1520 sqft,₹62 Lac ,Super Area,1520 sqft
137,5 BHK Independent House for Sale in Coimbatore,1824 sqft,₹65 Lac ,Super Area,1824 sqft
138,"3 BHK Independent House for Sale in Kannappan Nagar, Coimbatore",454 sqft,₹43 Lac ,Super Area,454 sqft
139,"2 BHK Independent House for Sale in pollachi, Coimbatore",250 sqft,₹60 Lac ,Carpet Area,250 sqft
140,"1 BHK Independent House for Sale in Veerapandi Pirivu, Coimbatore",410 sqft,₹14 Lac ,Super Area,410 sqft
141,"1 BHK Independent House for Sale in Ondipudur, Coimbatore",1800 sqft,₹63 Lac ,Carpet Area,1800 sqft
142,"5 BHK Independent House for Sale in Cheran Colony, Coimbatore",2000 sqft,₹1.32 Cr ,Carpet Area,2000 sqft
143,"3 BHK Independent House for Sale in Rathinapuri, Coimbatore",874 sqft,₹35 Lac ,Carpet Area,874 sqft
144,6 BHK Independent House for Sale in Coimbatore,Ready to Move,₹72 Lac ,Status,Ready to Move
145,"2 BHK Independent House for Sale in Eachanari, Coimbatore",1500 sqft,₹48 Lac ,Carpet Area,1500 sqft
146,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",1950 sqft,₹95 Lac ,Super Area,1950 sqft
147,"5 BHK Independent House for Sale in Sulur, Coimbatore",2950 sqft,₹78 Lac ,Super Area,2950 sqft
148,"2 BHK Independent House for Sale in Annur, Coimbatore",950 sqft,₹22 Lac ,Super Area,950 sqft
149,"2 BHK Independent House for Sale in Sulur, Coimbatore",800 sqft,₹72 Lac ,Carpet Area,800 sqft
150,"2 BHK Independent House for Sale in Vadavalli, Coimbatore",1650 sqft,₹98 Lac ,Carpet Area,1650 sqft
151,"5 BHK Independent House for Sale in NGGO Colony, Coimbatore",2350 sqft,₹75.5 Lac ,Super Area,2350 sqft
152,"6 BHK Independent House for Sale in KRG Nagar, Coimbatore",5200 sqft,₹3 Cr ,Carpet Area,5200 sqft
153,"1 BHK Independent House for Sale in Edayarpalayam, Coimbatore",2450 sqft,₹74 Lac ,Carpet Area,2450 sqft
154,"6 BHK Independent House for Sale in Ganapathy, Coimbatore",5200 sqft,₹2.75 Cr ,Carpet Area,5200 sqft
155,"4 BHK Independent House for Sale in Saravanampatty, Coimbatore",5000 sqft,₹1.50 Cr ,Super Area,5000 sqft
156,"1 BHK Independent House for Sale in Sugunapuram, Coimbatore",999 sqft,₹28 Lac ,Super Area,999 sqft
157,"4 BHK Independent House for Sale in Sivaram Nagar, Coimbatore",4500 sqft,₹3.25 Cr ,Super Area,4500 sqft
158,"2 BHK Independent House for Sale in Sulur, Coimbatore",1000 sqft,₹35 Lac ,Carpet Area,1000 sqft
159,"4 BHK Independent House for Sale in Keeranatham, Coimbatore",1400 sqft,₹81 Lac ,Carpet Area,1400 sqft
160,"1 BHK Independent House for Sale in Ondipudur, Coimbatore",800 sqft,₹42 Lac ,Super Area,800 sqft
161,"3 BHK Independent House for Sale in Maniakaram Palayam, Coimbatore",1650 sqft,₹2.10 Cr ,Carpet Area,1650 sqft
162,"4 BHK Independent House for Sale in Neelambur, Coimbatore",2200 sqft,₹90 Lac ,Carpet Area,2200 sqft
163,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",2000 sqft,₹80 Lac ,Carpet Area,2000 sqft
164,"3 BHK Independent House for Sale in Selvapuram, Coimbatore",2700 sqft,₹2.20 Cr ,Carpet Area,2700 sqft
165,"2 BHK Independent House for Sale in pollachi, Coimbatore",800 sqft,₹45 Lac ,Carpet Area,800 sqft
166,"2 BHK Independent House for Sale in Vellalore, Coimbatore",2764 sqft,₹80 Lac ,Super Area,2764 sqft
167,"3 BHK Independent House for Sale in Kuniyamuthur, Coimbatore",640 sqft,₹49 Lac ,Super Area,640 sqft
168,"2 BHK Independent House for Sale in Sulur, Coimbatore",1000 sqft,₹53 Lac ,Carpet Area,1000 sqft
169,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",1800 sqft,₹95 Lac ,Super Area,1800 sqft
170,"3 BHK Independent House for Sale in Sundarapuram, Coimbatore",1200 sqft,₹1.20 Cr ,Carpet Area,1200 sqft
